,Abstract,questions,AMES
768,"In spite of its considerable value as a predictor of in vivo genotoxicity and even for carcinogenicity, false positive cases were reported for the Ames test, e.g., with a number of natural food constituents. Here we analyzed the effects of juice of Allium cepa, the common onion, a staple food and traditional remedy used in many civilizations, in the Ames fluctuation assay. We could find mild mutagenicity with an onion juice extract in Salmonella typhimurium strains TA98 and TA100, the latter being less sensitive towards the extract. Mutagenicity was not influenced markedly by the presence of rat liver S9 mix. Onion juice also exerted some toxicity to the bacteria in the same concentration range. Comparative studies with quercetin and rutin, major flavonoid glycosides in onions, revealed a mutagenic potency of quercetin with an EC 50 -value of 4 μM in TA98. The contents of quercetin and rutin in onion juice were determined as 0.71 ± 0.20, and 0.71 ± 0.21 mg/kg. Calculations of quercetin and rutin concentrations in mutagenic dilutions revealed that both compounds are highly unlikely to cause the mutagenic effects of onion juice and that other yet undefined constituents must be responsible for these effects.",Is quercetin mutagenic for TA98 or TA100 strain?,True
769,"It has previously been demonstrated by others that acetone extracts of Senecio jacobaea (syn. Jacobaea vulgaris, common or tansy ragwort) test positive in the Salmonella/microsome mutagenicity test (Ames test). Pyrrolizidine alkaloids (PAs) are thought to be responsible for these mutagenic effects. However, it was also observed that the major PA present in common ragwort, jacobine, produced a negative response (with and without the addition of rat liver S9) in Salmonella test strains TA98, TA100, TA1535 and TA1537. To investigate which compounds in the plant extracts were responsible for the positive outcome, the present study investigated the contents and mutagenic effects of methanol and acetone extracts prepared from dried ground S. jacobaea and Senecio inaequidens (narrow-leafed ragwort). Subsequently, a fractionation approach was set up in combination with LC-MS/MS analysis of the fractions. It was shown that the positive Ames test outcomes of S. jacobaea extracts are unlikely to be caused by PAs, but rather by the flavonoid quercetin. This study also demonstrates the importance of identifying compounds responsible for positive test results in bioassays. ",Is quercetin mutagenic for TA98 or TA100 or TA1535 or TA1537 strain?,True
770,Quercetin-3-O-β-D-glucopyranoside (isoquercitrin) and quercetin-3-O-rutinoside (rutin) are common components of a normal human diet and are increasingly used in food supplements. Here their effect on mutagenesis and immunity is shown.,Is isoquercitrin mutagenic for nan strain?,True
771,"The antioxidant and hepatoprotective effects of Heterotheca inuloides have been reported before, nevertheless its use as a possible chemopreventive agent has not been documented. The aim of this study was to evaluate the mutagenic and antimutagenic activities of H. inuloides extracts using the Ames test. Both, the methanolic and acetonic extracts, were mutagenic in the TA98 but not in TA100 or TA102 strains. On the other hand, the methanolic extract reduced the mutagenicity of norfloxacin, benzo[a]pyrene and 2-aminoanthracene. Quercetin, one of the main components in the methanolic extract, also presented a mutagenic/antimutagenic dual effect and is an inhibitor of Cytochrome P450 (CYP) 1A. The antigenotoxic properties of H. inuloides could be due to the antioxidant properties previously reported and to its CYP inhibitory effect mediated by quercetin. Further studies with in vivo systems will afford information about H. inuloides beneficial and detrimental properties. ",Is H. inuloides extracts mutagenic for TA98 or TA100 or TA102 strain?,True
772,"The antimutagenicity of ten flavonoids, differing in their hydroxylation patterns against direct-acting and indirect-acting mutagens, namely 4-nitro-o-phenylenediamine, sodium azide, mitomycin C, benzo[a]pyrene, aflatoxin B1 and 2-aminofluorene, were compared with the aim of investigating how the hydroxyl groups in their structures govern the biological activity of flavonoids, by the Ames test, with Salmonella typhimurium strains TA98, TA100 and TA102. The flavonoids tested were: quercetin, kaempferol, luteolin, fisetin, chrysin, galangin, flavone, 3-hydroxyflavone, 5-hydroxyflavone and 7-hydroxyflavone. In these tests, all compounds were shown to be antimutagenic in more than one strain and various mechanisms of action were demonstrated. The results suggested that the number and position of hydroxyl groups may increase or decrease the protective effect, depending on the type and concentration of flavonoids and mutagen used. These studies contribute to clarifying the mechanisms by which these flavonoids act in protecting DNA from damage. This is required before they can be widely used. ",Is quercetin mutagenic for TA98 or TA100 or TA102 strain?,False
773,"The mutagenicity of ten flavonoids was assayed by the Ames test, in <em>Salmonella typhimurium</em> strains TA98, TA100 and TA102, with the aim of establishing hydroxylation pattern-mutagenicity relationship profiles. The compounds assessed were: quercetin, kaempferol, luteolin, fisetin, chrysin, galangin, flavone, 3-hydroxyflavone, 5-hydroxyflavone and 7-hydroxyflavone. In the Ames assay, quercetin acted directly and its mutagenicity increased with metabolic activation. In the presence of S9 mix, kaempferol and galangin were mutagenic in the TA98 strain and kaempferol showed signs of mutagenicity in the other strains. The absence of hydroxyl groups, as in flavone, only signs of mutagenicity were shown in strain TA102, after metabolization and, among monohydroxylated flavones (3-hydroxyflavone, 5-hydroxyflavone and 7-hydroxyflavone), the presence of hydroxyl groups only resulted in minor changes. Luteolin and fisetin also showed signs of mutagenicity in strain TA102. Finally, chrysin, which has only two hydroxy groups, at the 5-OH and 7-OH positions, also did not induce mutagenic activity in any of the bacterial strains used, under either activation condition. All the flavonoids were tested at concentrations varying from 2.6 to 30.7 nmol/plate for galangin and 12.1 to 225.0 nmol/plate for other flavonoids. In light of the above, it is necessary to clarify the conditions and the mechanisms that mediate the biological effects of flavonoids before treating them as therapeutical agents, since some compounds can be biotransformed into more genotoxic products; as is the case for galangin, kaempferol and quercetin.",Is quercetin mutagenic for TA98 or TA100 or TA102 strain?,True
774,"Dichloromethane extract of the stem bark of Rheedia acuminata yielded three benzophenones with antioxidant activity, the new one named acuminophenone A (1), guttiferone K (2) and isoxanthochymol (3), along with the known xanthones formoxanthone C (4) and macluraxanthone (5). The structures were established through interpretation of their spectroscopic data, the stereochemistry of compounds (1) and (2) were resolved by experimental and computational experiments and their antioxidant activities were measured using the DPPH, ABTS and TEAC assays. The antioxidant results showed that metabolites 1, 4 and 5 had a better antioxidant activity than the reference compound quercetin. In addition, we evaluate the mutagenicity and antimutagenicity of the CH2Cl2 extract as well as of the free radical scavenger compounds 1, 4 and 5 by the AMES Salmonella/microsomal test. No mutagenicity was found in the CH2Cl2 extract using Salmonella typhimurium strains TA98, TA100, TA102, TA1537 and TA1538, with or without S9 metabolic activation. The pure compounds neither showed mutagenicity in TA 102 strain and the most important result was the strong reduction of mutagenic effect induced by hydrogen peroxide in S. typhimurium TA102, with or without S9, showed by the compounds 1 (more than 93%) and 4 (more than 88%) at 0.02 microg/plate.",Is acuminophenone A mutagenic for TA98 or TA100 or TA102 or TA1537 strain?,False
775,"Davilla nitida and Davilla elliptica (Dilleniaceae) are plants that occur predominantly in the cerrado region of South America. They are used in popular medicine to treat stomach diseases, diarrhea and swelling, particularly of the lymph nodes and testicles. Chemical investigation of these two plant species led to the identification of the compounds myricetin-3-O-α-l-rhamnoside (myricitrin), quercetin-3-O-α-l-rhamnoside (quercitrin), myricetin, quercetin and gallic acid derivatives in the leaves of D. nitida and D. elliptica. Therefore, it was concluded that the two species of Davilla possess qualitatively similar chemical profiles. In the present study, the mutagenic and genotoxic potential of these plants and of their isolated compounds was tested in the Salmonella typhimurium assay (Ames test) with strains TA100, TA98, TA102 and TA97a, in the micronucleus test with peripheral blood cells of mice treated in vivo, and in plasmid DNA to analyze DNA strand-breaks. In the assessment of mutagenic potential by the Ames test, extracts from both plant species and a D. nitida ethyl-acetate fraction induced positive responses. On the other hand, none of the extracts showed genotoxic activity in the mouse cells. In the presence of metal ion, D. nitida and D. elliptica aqueous and ethyl-acetate fractions, as well as their isolated compounds, induced single- and double-strand-breaks in plasmid DNA in a cell-free system.",Is quercetin mutagenic for TA98 or TA100 or TA102 strain?,True
776,"Euphorbia hirta (E. hirta) is a weed commonly found in tropical countries and has been used traditionally for asthma, bronchitis and conjunctivitis. However, one of the constituents in this plant, quercetin, was previously reported to be mutagenic. This work aimed to determine the level of quercetin in the aqueous and methanol plant extracts and to investigate the mutagenic effects of quercetin and the extracts in the Ames test utilising the mutant Salmonella typhimurium TA98 and TA100 strains. The antimutagenic activity of Euphorbia hirta aqueous and methanol extracts was also studied in Salmonella typhimurium TA98. HPLC analyses showed that quercetin and rutin, a glycosidic form of quercetin, were present in the acid-hydrolysed methanol extract and non-hydrolysed methanol extract respectively. The quercetin concentration was negligible in both non-hydrolysed and acid-hydrolysed aqueous extracts. The total phenolic contents in Euphorbia hirta were determined to be 268 and 93 mg gallic acid equivalent (GAE) per gram of aqueous and methanol extracts, respectively. Quercetin (25 microg/mL) was found to be strongly mutagenic in Salmonella typhimurium TA98 in the absence and presence of S-9 metabolic activation. However, both the aqueous and methanol extracts did not demonstrate any mutagenic properties when tested with Salmonella typhimurium TA98 and TA100 strains at concentrations up to 100 microg/mL in the absence and presence of S-9 metabolic activation. In the absence of S-9 metabolic activation, both the extracts were unable to inhibit the mutagenicity of the known mutagen, 2-nitrofluorene, in Salmonella typhimurium TA98. On the other hand, the aqueous extracts at 100 microg/mL and methanol extracts at 10 and 100 microg/mL exhibited strong antimutagenic activity against the mutagenicity of 2-aminoanthracene, a known mutagen, in the presence of S-9 metabolic activating enzymes. The results indicated that these extracts could modulate the xenobiotic metabolising enzymes in the liver at the higher concentrations.",Is quercetin mutagenic for TA98 or TA100 strain?,True
777,"Mouriri pusa Gardner and Mouriri elliptica Martius are fruit-bearing plants of the Melastomataceae family, popularly known in Brazil as puçá-preto or jaboticaba-do-cerrado, and they are used in folk medicine for the treatment of gastric ulcers. In this study, we employ the Ames test to assess the mutagenicity of compounds obtained from the leaves of these species. The methanol extract of the M. pusa was mutagenic to the Salmonella typhimurium strains TA98, TA97a and TA100, with or without metabolic activation. The methanol extract of M. elliptica induced mutagenic activity in TA98 when metabolized with S9 fraction and TA97a with and without S9, but with lower mutagenicity index (MI) and potencies values than those for M. pusa. Enriched fractions of flavonoids and tannins of M. pusa were also evaluated and they demonstrated positive mutagenicity. The highest values of MI and potency were obtained with the flavonoid fraction, which contains large amounts of quercetin, quercetin glycosides and myricetin. These compounds are probably related to the mutagenicity observed in the Ames test. The dichloromethane extract was not mutagenic in any of the test conditions employed.",Is quercetin mutagenic for TA98 or TA100 strain?,True
778,"Byrsonima basiloba A. Juss. species is a native arboreal type from the Brazilian ""cerrado"" (tropical American savanna), and the local population uses it to treat diseases, such as diarrhea and gastric ulcer. It belongs to the Malpighiaceae family, and it is commonly known as ""murici."" Considering the popular use of B. basiloba derivatives and the lack of pharmacological potential studies regarding this vegetal species, the mutagenic and antimutagenic effect of methanol (MeOH) and chloroform extracts were evaluated by the Ames test, using strains TA97a, TA98, TA100, and TA102 of Salmonella typhimurium. No mutagenic activity was observed in any of the extracts. To evaluate the antimutagenic potential, direct and indirect mutagenic agents were used: 4 nitro-o-phenylenediamine, sodium azide, mitomycin C, aflatoxin B(1), benzo[a]pyrene, and hydrogen peroxide. Both the extracts evaluated showed antimutagenic activity, but the highest value of inhibition level (89%) was obtained with the MeOH extract and strain TA100 in the presence of aflatoxin B(1). Phytochemical analysis of the extracts revealed the presence of n-alkanes, lupeol, ursolic and oleanolic acid, (+)-catechin, quercetin-3-O-alpha-L-arabinopyranoside, gallic acid, methyl gallate, amentoflavone, quercetin, quercetin-3-O-(2""-O-galloyl)-beta-D-galactopyranoside, and quercetin-3-O-(2""-O-galloyl)-alpha-L-arabinopyranoside.",Is Byrsonima basiloba A. Juss. mutagenic for TA98 or TA100 or TA102 strain?,False
779,"Benzidine (Bz), a human bladder carcinogen, was strongly mutagenic to Salmonella TA102 tester strain in the Ames Salmonella microsome/mutagenicity assay in the presence of rat liver S9 mix. Various non-mutagenic plant polyphenols were included in the assay to test their inhibitory effects on the Bz-induced mutations. Coumestrol, ellagic acid (EA), (-)-epicatechin (EC), (-)-epichatechingallate (ECG), gallic acid (GA), (-)-gallocatechin (GC), plumbagin, propyl gallate (PG), taxifolin, and 2,2',4'-trihydroxychalcone were found to have a strong inhibitory effect on Bz-induced mutations. (-)-Epigallo-catechingallate (EGCG), fisetin, (-)-gallocatechingallate (GCG), and piceatannol were moderately inhibitory to the mutations; whereas, (-)-catechin, (-)-catechingallate (CG), and reseveratrol were weakly inhibitory to the mutations. (-)-Epigallocatechin (EGC) and 7,3',4'-trihydroxy isoflavon were not inhibitory to the Bz-induced mutations. Isoliquirtigenin, quercetin dihydrate, and rhein were found to be mutagenic in tester strain TA102. Benzidine mediated lipid peroxidation was conducted employing the thiobarbituric acid reactive substances (TBARS) assay using linoleic acid as a substrate. In the presence of rat liver S9 mix, Bz could cause lipid peroxidation as an outcome of production of oxygen free radicals. Incorporation of the above mentioned non-mutagenic plant polyphenols significantly inhibited benzidine mediated lipid peroxidation in a time dependent manner. These polyphenols also effectively reduced the iron mediated lipid peroxidation. Thus, it is concluded that the inhibition of oxidative mutagenicity of Bz by plant polyphenols could be due to an inhibitory effect of plant polyphenols on the bioactivating enzymes such as cytochrome P-450 and peroxidase and the chelation of iron present in the cytochrome P-450 in the S9 mix. Thus, these plant polyphenols play a significant inhibitory role on Bz-induced mutagenicity.",Is Benzidine mutagenic for TA102 strain?,True
780,"The antimutagenic properties of the most prevalent flavonoids in rooibos (Aspalathus linearis) were compared in the Salmonella typhimurium mutagenicity assay using tester strains TA98 and TA100 with, respectively, 2-acetamido-fluorene (2-AAF) and aflatoxin B(1) (AFB(1)) as mutagens in the presence of metabolic activation. The flavonoids included the dihydrochalcones aspalathin and nothofagin and their flavone analogues, orientin and isoorientin, and vitexin and isovitexin, respectively, as well as luteolin, chrysoeriol, (+)-catechin, quercetin, isoquercitrin, hyperoside and rutin. Flavonoid-mutagen interactions ranged from antimutagenic, comutagenic and promutagenic to mutagenic, while dose-response effects were mutagen-specific and ranged from typical to atypical including biphasic and threshold effects. Aspalathin and nothofagin and their structural flavonoid analogues displayed moderate antimutagenic properties while luteolin and to some extent, chrysoeriol, showed activities comparable to those of the green tea flavonoid (-) epigallocatechin gallate (EGCG). Apart from their mutagenic and promutagenic properties, quercetin and isoquercitrin exhibited concentration-dependent comutagenic and/or antimutagenic effects against 2-AAF- and AFB(1)-induced mutagenesis. Different structural parameters known to affect the antimutagenic properties of flavonoids include their hydrophilic or lipophilic nature due to the extent of hydroxylation and O-methylation, glycosylation on the A and B rings, the C4-keto group and the C2-C3 double bond. The C ring does not appear to be a prerequisite when comparing for the antimutagenic activity of the dihydrochalcones when compared of the dihydrochalcones with the structural flavone analogues.",Is quercetin mutagenic for TA98 or TA100 strain?,True
781,"Byrsonima intermedia is a native species of the cerrado formation (tropical American savannah). In Brazil, this plant has been used for the treatment of fever, in ulcers, as a diuretic, as antiasthmatics and in skin infections. Members of the genus Byrsonima (Malpighiaceae) are employed not only in the folk medicine but also as food to make juice, jellies and liquor. The aim of this work was to evaluate the mutagenic effects of Byrsonima intermedia, common name 'murici'. Phytochemical analysis of methanol extract furnished (+)-catechin, (-)-epicatechin, quercetin-3-O-beta-d-galactopyranoside, methyl gallate, gallic acid, quercetin-3-O-alpha-l-arabinopyranoside, amentoflavone, quercetin, quercetin-3-O-(2''-O-galloyl)-beta-galactopyranoside and quercetin-3-O-(2''-O-galloyl)-alpha-arabinopyranoside. Methanol, hydromethanol and chloroform extracts were evaluated in mutagenic assay with Salmonella typhimurium (Ames test) and mice (Micronucleus test). The methanolic extract presented signs of mutagenic activity for the strains TA98 and TA100 in the Ames assay. Mutagenicity was not observed in vivo.",Is Byrsonima mutagenic for TA98 or TA100 strain?,False
782,"The hepatopulmonary syndrome (HPS) occurs when intrapulmonary dilatation causes hypoxemia in cirrhosis. The free radicals may play a significant contributory role in the progression of HPS, and flavonoid agents could protect against deleterious effects of free radicals. The flavonoid quercetin was evaluated in an experimental model of biliary cirrhosis induced by bile duct ligation (BDL) in rats. Quercetin was administered at 50mg/kg for 14 days to cirrhotic and non-cirrhotic rats. Bone marrow was extracted from animals to analyze micronuclei. Lung, liver and blood were extracted to detect DNA damage using the comet assay. The results showed that the micronuclei and DNA damages to lung and liver were increased in BDL rats. Quercetin caused no damage to the DNA while decreasing the occurrence of micronucleated cells in bone marrow as well as DNA damage to lung and liver in cirrhotic rats. Quercetin showed antimutagenic activity against hydroperoxides as evaluated by the oxidative stress sensitive bacterial strains TA102 Salmonella typhimurium and IC203 Escherichia coli, suggesting protection by free radical scavenging. In Saccharomyces cerevisie yeast strains lacking mitochondrial or cytosolic superoxide dismutase, these results indicate that quercetin protects cells by induction of antioxidant enzymes. The present study is the first report of genotoxic/antigenotoxic effects of quercetin in a model of animal cirrhosis. In this model, quercetin was not able to induce genotoxicity and, conversely, it increased the genomic stability in the cirrhotic rats, suggesting beneficial effects, probably by its antioxidant properties.",Is quercetin mutagenic for TA102 strain?,False
783,"Several in vivo and in vitro studies have shown that grape extracts could prevent certain steps in carcinogenesis and a few mechanisms have been proposed for this activity. In this study, the potential antimutagenic activity of methanolic and aqueous extracts from two Greek grape varieties of Vitis vinifera against DNA damage induced by reactive oxygen species (ROS) was assessed as a potential novel chemopreventive mechanism, using Salmonella typhimurium strain TA102. The two grape varieties were Assyrtiko (white grapes) and Mandilaria (red grapes), while the oxidant mutagens used were bleomycin (BLM) and hydrogen peroxide (H(2)O(2)). Since it has been considered that polyphenols present in grapes are their most potent biologically active compounds, we also tested the effects of polyphenol-rich fractions as well as some of the more common grape polyphenols on the activity of the two test mutagens. These polyphenols were quercetin, (+)-catechin, (-)-epicatechin, trans-resveratrol, gallic acid and protocatechuic acid. Almost all extracts showed inhibitory activity against both mutagens. On the other hand, polyphenol-rich fractions as well as individual polyphenols at concentrations found in the extracts either did not diminish or did enhance the activity of the mutagens. These results suggest that the protection of DNA from mutations induced by ROS may be one of the mechanisms accounting for the chemopreventive activity of grape extracts. However, it seems that this protective activity may not be attributed to polyphenols but rather to a synergism of many compounds in the grapes.",Is quercetin mutagenic for TA102 strain?,False
784,"The present study has been performed to evaluate the antimutagenic activity of quercetin, ascorbic acid and their combination against an oxidative mutagen. An effort was also made to correlate this activity to the in vitro antioxidant activity of these agents. Antimutagenicity testing was done in Ames Salmonella Assay system using Salmonella typhimurium TA102 against t-butylhydroperoxide as an oxidative mutagen. In vitro antioxidant scavenging activity was tested for DPPH free radical, superoxide anion, hydrogen peroxide and hydroxyl radical in their specific test systems. Quercetin (0.5-8 nmole/plate) and ascorbic acid (0.1-100 micromole/plate) showed significant effect. Quercetin (4 and 8 nmole/plate) when combined with ascorbic acid (500 nmole/plate) showed an increase in the antimutagenic activity. In vitro antioxidant activity of quercetin was better than ascorbic acid in all the test systems used. The study indicated that the antimutagenic activity of quercetin was not solely accountable by its antioxidant nature. However, in vitro free radical scavenging activity of quercetin correlated well with the antimutagenic activity.",Is quercetin mutagenic for TA102 strain?,False
785,"A methanol extract from the flower heads of Chrysanthemum morifolium showed a suppressive effect on umu gene expression of the SOS response in Salmonella typhimurium TA1535/pSK1002 against the mutagen 2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide (furylfuramide). The methanol extract was re-extracted with hexane, chloroform, ethyl acetate, butanol, and water. The ethyl acetate fraction showed a suppressive effect. Suppressive compounds in the ethyl acetate fraction were isolated by silica gel column chromatography and identified as the flavonoids acacetin (1), apigenin (2), luteolin (3), and quercetin (4) by EI-MS, IR, and (1)H and 13C NMR spectroscopy. Compounds 1-4 suppressed the furylfuramide-induced SOS response in the umu test. Compounds 1-4 suppressed 60.2, 75.7, 90.0, and 66.6% of the SOS-inducing activity at a concentration of 0.70 micromol/ml. The ID50 (50% inhibitory dose) values of 1-4 were 0.62, 0.55, 0.44, and 0.59 micromol/ml. These compounds had the suppressive effects on umu gene expression of the SOS response against other mutagens, 4-nitroquinolin 1-oxide (4NQO) and N-methyl-N'-nitro-N-nitrosoguanidine (MNNG), which do not require liver-metabolizing enzymes. These compounds also showed the suppression of SOS-inducing activity against the other mutagens aflatoxin B1 (AfB1) and 3-amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (Trp-P-1), which require liver-metabolizing enzymes, and UV irradiation. In addition to the antimutagenic activities of these compounds against furylfuramide, Trp-P-1 and activated Trp-P-1 were also assayed by the Ames test using S. typhimurium TA100.",Is quercetin mutagenic for TA100 or TA1535 strain?,False
786,"Mutagenicity induced by tert-butyl hydroperoxide (BHP) or cumene hydroperoxide (CHP) in Salmonella typhimurium TA102 was effectively reduced by flavonols with 3',4'-hydroxyl groups such as fisetin, quercetin, rutin, isoquercitrin, hyperoxide, myricetin, myricitrin, robinetin, and to a lesser extent also by morin and kaempferol (ID50=0.25-1.05 micromol per plate). With the exception of isorhamnetin, rhamnetin, morin, and kaempferol, closely similar results were obtained with both peroxides. Hydrogenation of the double bond between carbons 2 and 3 (dihydroquercetin, dihydrorobinetin) as well as the additional elimination of the carbonyl function at carbon 4 (catechins) resulted in a loss of antimutagenicity with the notable exception of catechin itself. Again, all flavones and flavanones tested were inactive except luteolin, luteolin-7-glucoside, diosmetin, and naringenin. The typical radical scavenger butylated hydroxytoluene also showed strong antimutagenicity against CHP (ID50=5.4 micromol per plate) and BHP (ID50=11.4 micromol per plate). Other lipophilic scavengers such as alpha-tocopherol and N,N'-diphenyl-1,4-phenylenediamine exerted only moderate effects, the hydrophilic scavenger trolox was inactive. The metal chelating agent 1,10-phenanthroline strongly reduced mutagenicities induced by CHP and BHP (ID50=2.75 and 2.5 micromol per plate) at low concentrations but induced mutagenic activities at higher concentrations. The iron chelator deferoxamine mesylate, however, was less effective in both respects. The copper chelator neocuproine effectively inhibited mutagenicity induced by BHP (ID50=39.7 micromol per plate) and CHP (ID50=25.9 micrommol per plate), the iron chelator 2,2'-dipyridyl was less potent (ID50=6.25 mmol per plate against BHP, 0.42 mmol per plate against CHP). In the absence of BHP and CHP, yet not in the presence of these hydroperoxides, quercetin, rutin, catechin, epicatechin, and naringenin induced strong mutagenic activities in S. typhimurium TA102. Radical scavenging activities of flavonoids against peroxyl radicals generated from 2,2'-azo-bis(2-amidinopropane)dihydrochloride (AAPH) as measured in the haemolysis test, confirmed that in general flavonoids with di- or trihydroxy hydroxyl functions especially in positions 3', 4', 5' are effective radical scavengers. In this test system, however, luteolin was the most potent compound, followed by epicatechin and eriodictyol. Again, isorhamnetin was a potent inhibitor of lysis of red blood cells despite the presence of a 3'-OCH3 function. Radical scavenging activities of flavonoids against the stable radical 2,2-diphenyl-1-picrylhydrazyl (DPPH) in principle obeyed the rules outlined above. Flavanones, tamarixetin, and rhamnetin, however, were only weakly active against DPPH, while isorhamnetin was again a potent compound. From these results we conclude that in the Salmonella/reversion assay with strain TA102 antimutagenic activities of flavonoids against the peroxide mutagens CHP and BHP are mainly caused by radical scavenging effects.",Is cumene hydroperoxide mutagenic for TA102 strain?,True
787,"An assay for the ability of antioxidants to prevent mutations induced by various oxidants in Salmonella typhimurium TA102 cells was developed. Protection against hydrogen-peroxide-induced mutagenicity was observed for quercetin, caffeic acid, ascorbic acid and dimethyl sulfoxide (used as a solvent for water-insoluble antioxidants). No protective effect was observed for green tea extract (weakly pro-oxidative), catechin, rutin, sinigrin, ferulic acid and alpha-tocopherol. Mutagenicity caused by tert-butyl hydroperoxide (tBOOH) was prevented most effectively by quercetin and ascorbic acid, whereas weaker effects were observed for green tea extract and for rutin, and no effect being observed for the other antioxidants tested. The results for hydrogen peroxide indicate iron chelation to be the most important protective mechanism. Radical scavenging appeared to be effective only with dimethyl sulfoxide and ascorbic acid, which are effective scavengers of hydroxyl radicals and were used here in high concentrations. It is proposed that the hydrogen-peroxide-induced mutations in the Salmonella cells are caused by hydroxyl radicals generated by iron ions closely associated with DNA. Protection against mutagenicity caused by tert-butyl hydroperoxide appears to occur mainly through the scavenging of alkoxyl and possibly of alkyl radicals.",Is quercetin mutagenic for TA102 strain?,False
788,"Rhoeo discolor is a legendary plant used for treatment of superficial mycoses in Mexican traditional medicine. Despite its extended use, it is not known whether it has side-effects. An ethanolic crude extract from Rhoeo discolor was prepared, its mutagenic capacity was investigated by the Ames test, and its genotoxic activity in primary liver cell cultures using the unscheduled DNA synthesis assay. This extract was not mutagenic when tested with Salmonella typhimurium strains TA97, TA98 and TA100, and it did not elicit unscheduled DNA synthesis in hepatocyte cultures. In addition, we explored the antimutagenic and antigenotoxic activities of the extract and its ROS scavenger behaviour. Our results show that Rhoeo extract is antimutagenic for S. typhimurium strain TA102 pretreated with ROS-generating mutagen norfloxacin in the Ames test, and protects liver cell cultures against diethylnitrosamine induction of unscheduled DNA synthesis even at 1.9 ng per dish, which was the lowest dose tested. A free radical scavenging test was used in order to explore the antioxidant capacity of Rhoeo extract, as compared with three commercial well-known antioxidants quercetin, ascorbic acid and tocopherol. Rhoeo extract showed less radical scavenging effect than quercetin, but similar to that of alpha-tocopherol and more than ascorbic acid. It is important to note that this extract was neither mutagenic in S. typhimurium nor genotoxic in liver cell culture, even at concentrations as high as four- and 166-fold of those needed for maximal antimutagenic or chemoprotective activities, respectively.",Is Rhoeo mutagenic for TA98 or TA100 or TA102 strain?,False
789,"55 commercial phytopharmaceuticals (extracts and tinctures) from 44 plant species were evaluated for mutagenic potential in the Salmonella/mammalian microsome mutagenicity test (Ames assay), utilizing tester strains TA98 and TA100 of Salmonella typhimurium with and without S9 mix from induced rat liver microsomes. Weak activities were detected after exposure of the bacteria to Alchemillae tinctura, Centaurii extractum, Hippocastani extractum and Myrtilli extractum. Moderate effects were observed with Crataegi extractum, Echinaceae angustifoliae extractum, Hyperici tinctura, Rutae tinctura and Trifolii fibrini extractum and tinctura. Quercetin was detected by TLC in all extracts with mutagenic activity except in Echinaceae angustifoliae and Centaurii extractum. From this study and earlier results we suggest that quercetin is possibly the main mutagenic principle in the following phytopharmaceuticals: Alchemillae tinctura, Cratagei extractum, Hippocastani extractum, Hyperici tinctura, Myrtilli extractum, Trifolii fibrini extractum and Trifolii fibrini tinctura.",Is quercetin mutagenic for TA98 or TA100 strain?,True
790,"Various studies have shown the mutagenicity of red wine. The major mutagens identified in red wine have been flavonoids, i.e. rutin and its aglycone quercetin. Besides flavonoids, however, it has recently been reported that H2O2 may account for the mutagenicity of red wine in the L-Arabinose resistance test. In the present study we report on the role of flavonoids in the mutagenicity of red wine in the Ames assay. Different wines from Portugal and Spain have been tested after concentration in XAD-2 columns in strains TA98 and TA104 of Salmonella typhimurium concurrently with the determination of the respective content of quercetin by HPLC. A similar approach was used for pilot scale productions of red wines. In all cases quercetin could be demonstrated as the major mutagen in red wines. The levels of quercetin in finished wines and during the wine-making process showed a good fit with the levels of mutagenicity detected. Catalase had no effect whatsoever on the mutagenicity of wines in both TA98 and TA104. These results do not rule out a role for H2O2 in the mutagenicity of wines, detected in other genetic end-points, because H2O2 can be formed from the auto-oxidation of quercetin.",Is quercetin mutagenic for TA98 strain?,True
791,"The mutagenicity of senna glycosides and extracts of senna folium and senna fructus was investigated in the Salmonella typhimurium reversion assay. Senna glycosides were inactive in all strains, except for a slight, but significant increase in mutant frequency in TA102 in the absence and presence of liver microsomes. Extracts of senna fructus and senna folium demonstrated weak activity in TA97a, TA100 and TA102 in the presence of liver microsomes, and in TA97a and TA102 in the absence of liver microsomes. A strong increase in mutant frequency (3- to 5-fold above background frequency) was observed with all extracts in TA98 in the presence of liver microsomes. This activity increased further following enzymatic hydrolysis with hesperidinase of extracts of senna fructus from one source, and could be correlated to the release of the flavonol aglycones kaempferol and quercetin. The weak or lacking activity of anthraquinone aglycones in the tested strains of Salmonella typhimurium indicates that mutagenicity can not be attributed solely to the anthraquinone content of these plant materials. The chemical nature of other mutagenic components has not been elucidated.",Is quercetin mutagenic for TA98 or TA100 or TA102 strain?,True
